0.5625	  0.0966438	      5.3755	    0.910496	    0.604143	
0.6875	    0.102056	    4.92784	      1.1654	    0.673572	
0.8125	    0.149008	    5.19648	    1.26049	    0.745672	
0.9375	    0.219098	    4.87304	    1.33628	    0.784021	
 1.062	    0.296655	    5.20512	    1.40751	    0.810057	
 1.188	    0.168841	    5.65872	      1.4219	    0.812979	
 1.312	    0.202161	    5.44306	    1.38166	    0.826665	
 1.438	    0.154254	      6.0094	    1.41938	    0.867842	
 1.562	    0.130253	    4.51182	    1.35766	    0.816878	
 1.688	  0.0781406	    5.66773	    1.35175	    0.877209	
 1.812	  0.0705616	    3.95301	      1.2664	    0.847338	
 1.938	  0.0311362	    3.60796	    1.18796	    0.833848	
 2.062	  0.0780596	    4.05637	    1.10871	    0.729526	
 2.188	  0.0799081	    3.17416	    1.01483	    0.760969	
 2.312	  0.0696425	    2.74636	    0.979869	    0.766373	
 2.438	  0.0684763	    2.62963	    0.92389	    0.712608	
 2.562	  0.0853939	    2.57152	    0.860974	    0.700265	
 2.688	    0.127029	    2.80901	    0.878934	    0.691664	
 2.812	    0.144848	    2.35125	    0.786931	    0.635358	
 2.938	    0.13451	    2.11849	    0.82008	    0.653127	
 3.062	    0.116322	    1.91089	    0.783183	    0.66651	
 3.188	    0.144163	    1.91401	    0.76611	    0.604799	
 3.312	    0.214967	    1.92995	    0.718508	    0.599049	
 3.438	    0.119207	    1.46315	    0.656238	    0.554225	
 3.562	    0.193748	        1.44	    0.661152	    0.518631	
 3.688	  0.0838588	    1.48416	      0.5735	    0.610585	
 3.812	    0.11623	    1.25071	    0.603544	    0.573328	
 3.938	  0.0625709	    1.21442	    0.57182	    0.545994	
 4.062	  0.0975924	      1.1566	    0.56924	    0.50827	
 4.188	    0.112869	    1.28405	    0.507994	    0.587541	
 4.312	  0.0286732	    1.09735	    0.525687	    0.515033	
 4.438	  0.0620309	    1.21545	    0.537565	    0.495104	
 4.562	  0.0578029	    0.718303	    0.431229	    0.434701	
 4.688	    0.033846	    0.836567	    0.441898	    0.500276	
 4.812	  0.0424307	    0.705922	    0.400988	    0.449844	
 4.938	  0.0528006	    0.582947	    0.440384	    0.478892	
 5.062	  0.0717802	    0.707535	    0.415289	    0.425662	
 5.188	  0.0360756	    0.552185	    0.373702	    0.404173	
 5.312	    0.033745	    0.66994	    0.340124	    0.449677	
5.438	  0.0123395	    0.559232	    0.408668	    0.37907	
 5.562	  0.0128194	    0.409374	    0.362636	    0.356701	
 5.688	  0.0346672	    0.417637	    0.354257	    0.360796	
 5.812	  0.0161325	    0.638627	    0.313677	    0.355609	
 5.938	  0.0743275	    0.441238	    0.289643	    0.422165	
 6.062	  0.0327727	    0.409857	    0.341982	    0.282175	
 6.188	  0.0280155	    0.317977	    0.304892	    0.27448	
 6.312	  0.0158631	    0.422184	    0.293746	    0.355835	
 6.438	  0.0184778	    0.37832	    0.245909	    0.320025	
 6.562	          0	    0.288698	    0.252041	    0.256465	
 6.688	  0.0295534	    0.363597	    0.275876	    0.324739	
 6.812	  0.0180748	    0.442232	    0.180995	    0.282646	
 6.938	    0.015139	    0.413561	    0.23118	    0.263385	
 7.062	  0.0401355	    0.215054	    0.210231	    0.156376	
 7.188	  0.0424923	    0.43745	    0.196692	    0.257571	
 7.312	          0	    0.270659	    0.187603	    0.24268	
