0.5625	    2.43357	    1.82405	
0.6875	    2.55737	    1.75586	
0.8125	    3.90738	      1.5179	
0.9375	    3.86744	    1.69753	
 1.062	    2.65623	    2.48004	
 1.188	    1.63571	    3.37236	
 1.312	    1.65162	    4.78075	
 1.438	    2.89568	    6.45678	
 1.562	    4.60013	    7.17944	
 1.688	    6.89913	      9.0849	
 1.812	    8.56155	    9.68955	
 1.938	    10.0216	    10.3485	
 2.062	    11.1161	    9.64442	
 2.188	    11.6584	    10.2511	
 2.312	      12.277	    10.2584	
 2.438	    12.3908	    9.49662	
 2.562	    11.8566	      9.1334	
 2.688	    12.2263	    8.67362	
 2.812	      11.124	    7.54852	
 2.938	    11.3313	    7.18679	
 3.062	    10.2398	    6.67707	
 3.188	    9.39163	    5.50082	
 3.312	    8.37213	    4.66751	
 3.438	    7.12404	    3.88429	
 3.562	    6.31253	    3.07759	
 3.688	    4.79058	    3.01011	
 3.812	    4.51607	    2.40002	
 3.938	    3.58425	    2.04337	
 4.062	      3.0911	    1.51568	
 4.188	    2.26798	    1.42904	
 4.312	    1.98109	    1.07985	
 4.438	    1.64466	    0.79587	
 4.562	    1.16116	    0.567119	
 4.688	    0.986721	    0.508579	
 4.812	    0.730904	    0.428281	
 4.938	    0.636785	    0.375435	
 5.062	    0.505398	    0.285899	
 5.188	    0.359397	    0.262376	
 5.312	    0.27267	    0.250944	
 5.438	    0.298606	    0.183031	
 5.562	    0.241958	    0.146526	
 5.688	    0.201522	    0.147905	
 5.812	    0.15686	    0.116958
5.938	    0.132934	    0.137014	
 6.062	    0.137975	  0.0814879	
 6.188	    0.104198	    0.07271	
 6.312	  0.0935484	  0.0885479	
 6.438	  0.0718182	  0.0741876	
 6.562	  0.0685238	  0.0554314	
 6.688	  0.0743136	  0.0726051	
 6.812	  0.0435134	  0.0592469	
 6.938	  0.0526594	    0.051662	
 7.062	  0.0448443	  0.0304972	
 7.188	  0.0394456	  0.0483117	
 7.312	  0.0390068	  0.0452747	
 7.438	  0.0363714	  0.0352726	
 7.562	  0.0291112	  0.0344003	
 7.688	  0.0236493	  0.0349634	
 7.812	  0.0226349	  0.0361952	
 7.938	  0.0165033	  0.0234961	
     9	    0.122721	    0.132744	
    11	          0	          0	
    13	          0	          0	
    15	          0	          0	
    17	          0	          0	
    19	          0	          0	
    21	          0	          0	
    23	          0	          0	
    25	          0	          0	
    27	          0	          0	
    29	          0	          0	
    31	          0	          0	
    33	          0	          0	
    35	          0	          0	
    37	          0	          0	
    39	          0	          0	
    41	          0	          0	
    43	          0	          0	
    45	          0	          0	
    47	          0	          0	
    49	          0	          0	
    51	          0	          0	
    53	          0	          0	
    55	          0	          0	
    57	          0	          0	
    59	          0	          0	
