0.5625	     107.103	
0.6875	     164.507	
0.8125	     230.277	
0.9375	     307.314	
 1.062	      397.24	
 1.188	      488.47	
 1.312	     578.489	
 1.438	     668.263	
 1.562	     754.623	
 1.688	     838.839	
 1.812	     922.089	
 1.938	     1003.52	
 2.062	     1078.92	
 2.188	     1151.78	
 2.312	     1227.29	
 2.438	     1310.32	
 2.562	     1398.01	
 2.688	     1478.24	
 2.812	     1551.57	
 2.938	     1593.74	
 3.062	     1600.67	
 3.188	     1567.79	
 3.312	     1492.62	
 3.438	     1389.34	
 3.562	     1255.25	
 3.688	     1121.16	
 3.812	     989.051	
 3.938	     865.801	
 4.062	     753.095	
 4.188	     648.774	
 4.312	     554.176	
 4.438	     466.399	
 4.562	     386.471	
 4.688	      317.98	
 4.812	     262.203	
 4.938	     217.312	
 5.062	     184.281	
 5.188	     160.011	
 5.312	     145.224	
5.438	     133.266	
 5.562	     124.369	
 5.688	     114.476	
 5.812	     103.551	
 5.938	     92.8055	
 6.062	     82.2836	
 6.188	     74.7988	
 6.312	     70.5661	
 6.438	     66.0327	
 6.562	     61.1935	
 6.688	     57.4266	
 6.812	     54.7995	
 6.938	     52.2499	
 7.062	     49.7864	
 7.188	     48.2032	
 7.312	     47.5501	
 7.438	     46.7287	
 7.562	     45.7317	
 7.688	     44.7344	
 7.812	     43.7405	
 7.938	     43.5016	
     9	     694.384	
    11	     595.259	
    13	     572.929	
    15	     466.874	
    17	     336.776	
    19	     226.212	
    21	     198.325	
    23	     172.044	
    25	     133.384	
    27	     96.8331	
    29	     86.2133	
    31	     74.8538	
    33	     54.2016	
    35	     45.7823	
    37	     28.7698	
    39	     25.0083	
    41	     23.0479	
    43	     14.9224	
    45	     9.24143	
    47	      4.5172	
    49	     3.38332	
    51	     1.90814	
    53	     4.28582	
    55	           0	
    57	           0	
    59	     2.95648	
